"collection","collection_begin","collection_end","period","period_begin","period_end"
"https://w3id.org/artchives/collectionfototeca-zeri","1947","1998","http://www.wikidata.org/entity/Q37853","1590","1750"
"https://w3id.org/artchives/collectionfototeca-stefano-tumidei","1984","2007","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","1937","1949","http://www.wikidata.org/entity/Q37853","1590","1750"
"https://w3id.org/artchives/collectionarchivio-luisa-vertova","1960","2018","http://www.wikidata.org/entity/Q14378","1770","1840"
"https://w3id.org/artchives/collectionnachlass-otto-lehmannbrockhaus","1906","1999","http://www.wikidata.org/entity/Q12554","0476","1500"
"https://w3id.org/artchives/collectionjulius-s-held-papers","1918","1999","http://www.wikidata.org/entity/Q7016","1601","1700"
"https://w3id.org/artchives/collectionfototeca-stefano-tumidei","1984","2007","http://www.wikidata.org/entity/Q14378","1770","1840"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","1925","1970","http://www.wikidata.org/entity/Q7017","1501","1600"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","1931","1960","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","1925","1970","http://www.wikidata.org/entity/Q7018","1401","1500"
"https://w3id.org/artchives/collectionulrich-middledorf-papers","1925","1981","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionjulius-s-held-papers","1918","1999","http://www.wikidata.org/entity/Q7017","1501","1600"
"https://w3id.org/artchives/collectionfototeca-fahy","1965","2018","http://www.wikidata.org/entity/Q7017","1501","1600"
