"collection","period_label","year"
"Archivio Luisa Vertova","18th century","1960"
"Archivio Luisa Vertova","18th century","1961"
"Archivio Luisa Vertova","18th century","1962"
"Archivio Luisa Vertova","18th century","1963"
"Archivio Luisa Vertova","18th century","1964"
"Archivio Luisa Vertova","18th century","1965"
"Archivio Luisa Vertova","18th century","1966"
"Archivio Luisa Vertova","18th century","1967"
"Archivio Luisa Vertova","18th century","1968"
"Archivio Luisa Vertova","18th century","1969"
"Archivio Luisa Vertova","18th century","1970"
"Archivio Luisa Vertova","18th century","1971"
"Archivio Luisa Vertova","18th century","1972"
"Archivio Luisa Vertova","18th century","1973"
"Archivio Luisa Vertova","18th century","1974"
"Archivio Luisa Vertova","18th century","1975"
"Archivio Luisa Vertova","18th century","1976"
"Archivio Luisa Vertova","18th century","1977"
"Archivio Luisa Vertova","18th century","1978"
"Archivio Luisa Vertova","18th century","1979"
"Archivio Luisa Vertova","18th century","1980"
"Archivio Luisa Vertova","18th century","1981"
"Archivio Luisa Vertova","18th century","1982"
"Archivio Luisa Vertova","18th century","1983"
"Archivio Luisa Vertova","18th century","1984"
"Archivio Luisa Vertova","18th century","1985"
"Archivio Luisa Vertova","18th century","1986"
"Archivio Luisa Vertova","18th century","1987"
"Archivio Luisa Vertova","18th century","1988"
"Archivio Luisa Vertova","18th century","1989"
"Archivio Luisa Vertova","18th century","1990"
"Archivio Luisa Vertova","18th century","1991"
"Archivio Luisa Vertova","18th century","1992"
"Archivio Luisa Vertova","18th century","1993"
"Archivio Luisa Vertova","18th century","1994"
"Archivio Luisa Vertova","18th century","1995"
"Archivio Luisa Vertova","18th century","1996"
"Archivio Luisa Vertova","18th century","1997"
"Archivio Luisa Vertova","18th century","1998"
"Archivio Luisa Vertova","18th century","1999"
"Archivio Luisa Vertova","18th century","2000"
"Archivio Luisa Vertova","18th century","2001"
"Archivio Luisa Vertova","18th century","2002"
"Archivio Luisa Vertova","18th century","2003"
"Archivio Luisa Vertova","18th century","2004"
"Archivio Luisa Vertova","18th century","2005"
"Archivio Luisa Vertova","18th century","2006"
"Archivio Luisa Vertova","18th century","2007"
"Archivio Luisa Vertova","18th century","2008"
"Archivio Luisa Vertova","18th century","2009"
"Archivio Luisa Vertova","18th century","2010"
"Archivio Luisa Vertova","18th century","2011"
"Archivio Luisa Vertova","18th century","2012"
"Archivio Luisa Vertova","18th century","2013"
"Archivio Luisa Vertova","18th century","2014"
"Archivio Luisa Vertova","18th century","2015"
"Archivio Luisa Vertova","18th century","2016"
"Archivio Luisa Vertova","18th century","2017"
"Archivio Luisa Vertova","18th century","2018"
"Fototeca Stefano Tumidei","18th century","1984"
"Fototeca Stefano Tumidei","18th century","1985"
"Fototeca Stefano Tumidei","18th century","1986"
"Fototeca Stefano Tumidei","18th century","1987"
"Fototeca Stefano Tumidei","18th century","1988"
"Fototeca Stefano Tumidei","18th century","1989"
"Fototeca Stefano Tumidei","18th century","1990"
"Fototeca Stefano Tumidei","18th century","1991"
"Fototeca Stefano Tumidei","18th century","1992"
"Fototeca Stefano Tumidei","18th century","1993"
"Fototeca Stefano Tumidei","18th century","1994"
"Fototeca Stefano Tumidei","18th century","1995"
"Fototeca Stefano Tumidei","18th century","1996"
"Fototeca Stefano Tumidei","18th century","1997"
"Fototeca Stefano Tumidei","18th century","1998"
"Fototeca Stefano Tumidei","18th century","1999"
"Fototeca Stefano Tumidei","18th century","2000"
"Fototeca Stefano Tumidei","18th century","2001"
"Fototeca Stefano Tumidei","18th century","2002"
"Fototeca Stefano Tumidei","18th century","2003"
"Fototeca Stefano Tumidei","18th century","2004"
"Fototeca Stefano Tumidei","18th century","2005"
"Fototeca Stefano Tumidei","18th century","2006"
"Fototeca Stefano Tumidei","18th century","2007"
"Luigi Salerno research papers","18th century","1948"
"Luigi Salerno research papers","18th century","1949"
"Luigi Salerno research papers","18th century","1950"
"Luigi Salerno research papers","18th century","1951"
"Luigi Salerno research papers","18th century","1952"
"Luigi Salerno research papers","18th century","1953"
"Luigi Salerno research papers","18th century","1954"
"Luigi Salerno research papers","18th century","1955"
"Luigi Salerno research papers","18th century","1956"
"Luigi Salerno research papers","18th century","1957"
"Luigi Salerno research papers","18th century","1958"
"Luigi Salerno research papers","18th century","1959"
"Luigi Salerno research papers","18th century","1960"
"Luigi Salerno research papers","18th century","1961"
"Luigi Salerno research papers","18th century","1962"
"Luigi Salerno research papers","18th century","1963"
"Luigi Salerno research papers","18th century","1964"
"Luigi Salerno research papers","18th century","1965"
"Luigi Salerno research papers","18th century","1966"
"Luigi Salerno research papers","18th century","1967"
"Luigi Salerno research papers","18th century","1968"
"Luigi Salerno research papers","18th century","1969"
"Luigi Salerno research papers","18th century","1970"
"Luigi Salerno research papers","18th century","1971"
"Luigi Salerno research papers","18th century","1972"
"Luigi Salerno research papers","18th century","1973"
"Luigi Salerno research papers","18th century","1974"
"Luigi Salerno research papers","18th century","1975"
"Luigi Salerno research papers","18th century","1976"
"Luigi Salerno research papers","18th century","1977"
"Luigi Salerno research papers","18th century","1978"
"Luigi Salerno research papers","18th century","1979"
"Luigi Salerno research papers","18th century","1980"
"Luigi Salerno research papers","18th century","1981"
"Luigi Salerno research papers","18th century","1982"
"Luigi Salerno research papers","18th century","1983"
"Luigi Salerno research papers","18th century","1984"
"Luigi Salerno research papers","18th century","1985"
"Luigi Salerno research papers","18th century","1986"
"Luigi Salerno research papers","18th century","1987"
"Luigi Salerno research papers","18th century","1988"
"Luigi Salerno research papers","18th century","1989"
"Luigi Salerno research papers","18th century","1990"
"Luigi Salerno research papers","18th century","1991"
"Luigi Salerno research papers","18th century","1992"
"Luigi Salerno research papers","18th century","1993"
"Luigi Salerno research papers","18th century","1994"
"Luigi Salerno research papers","18th century","1995"
"Luigi Salerno research papers","18th century","1996"
"Fototeca Stefano Tumidei","15th century","1984"
"Fototeca Stefano Tumidei","15th century","1985"
"Fototeca Stefano Tumidei","15th century","1986"
"Fototeca Stefano Tumidei","15th century","1987"
"Fototeca Stefano Tumidei","15th century","1988"
"Fototeca Stefano Tumidei","15th century","1989"
"Fototeca Stefano Tumidei","15th century","1990"
"Fototeca Stefano Tumidei","15th century","1991"
"Fototeca Stefano Tumidei","15th century","1992"
"Fototeca Stefano Tumidei","15th century","1993"
"Fototeca Stefano Tumidei","15th century","1994"
"Fototeca Stefano Tumidei","15th century","1995"
"Fototeca Stefano Tumidei","15th century","1996"
"Fototeca Stefano Tumidei","15th century","1997"
"Fototeca Stefano Tumidei","15th century","1998"
"Fototeca Stefano Tumidei","15th century","1999"
"Fototeca Stefano Tumidei","15th century","2000"
"Fototeca Stefano Tumidei","15th century","2001"
"Fototeca Stefano Tumidei","15th century","2002"
"Fototeca Stefano Tumidei","15th century","2003"
"Fototeca Stefano Tumidei","15th century","2004"
"Fototeca Stefano Tumidei","15th century","2005"
"Fototeca Stefano Tumidei","15th century","2006"
"Fototeca Stefano Tumidei","15th century","2007"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1925"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1926"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1927"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1928"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1929"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1930"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1931"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1932"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1933"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1934"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1935"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1936"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1937"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1938"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1939"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1940"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1941"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1942"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1943"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1944"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1945"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1946"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1947"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1948"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1949"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1950"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1951"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1952"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1953"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1954"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1955"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1956"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1957"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1958"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1959"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1960"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1961"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1962"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1963"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1964"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1965"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1966"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1967"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1968"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1969"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century","1970"
"Fototeca Fahy","15th century","1965"
"Fototeca Fahy","15th century","1966"
"Fototeca Fahy","15th century","1967"
"Fototeca Fahy","15th century","1968"
"Fototeca Fahy","15th century","1969"
"Fototeca Fahy","15th century","1970"
"Fototeca Fahy","15th century","1971"
"Fototeca Fahy","15th century","1972"
"Fototeca Fahy","15th century","1973"
"Fototeca Fahy","15th century","1974"
"Fototeca Fahy","15th century","1975"
"Fototeca Fahy","15th century","1976"
"Fototeca Fahy","15th century","1977"
"Fototeca Fahy","15th century","1978"
"Fototeca Fahy","15th century","1979"
"Fototeca Fahy","15th century","1980"
"Fototeca Fahy","15th century","1981"
"Fototeca Fahy","15th century","1982"
"Fototeca Fahy","15th century","1983"
"Fototeca Fahy","15th century","1984"
"Fototeca Fahy","15th century","1985"
"Fototeca Fahy","15th century","1986"
"Fototeca Fahy","15th century","1987"
"Fototeca Fahy","15th century","1988"
"Fototeca Fahy","15th century","1989"
"Fototeca Fahy","15th century","1990"
"Fototeca Fahy","15th century","1991"
"Fototeca Fahy","15th century","1992"
"Fototeca Fahy","15th century","1993"
"Fototeca Fahy","15th century","1994"
"Fototeca Fahy","15th century","1995"
"Fototeca Fahy","15th century","1996"
"Fototeca Fahy","15th century","1997"
"Fototeca Fahy","15th century","1998"
"Fototeca Fahy","15th century","1999"
"Fototeca Fahy","15th century","2000"
"Fototeca Fahy","15th century","2001"
"Fototeca Fahy","15th century","2002"
"Fototeca Fahy","15th century","2003"
"Fototeca Fahy","15th century","2004"
"Fototeca Fahy","15th century","2005"
"Fototeca Fahy","15th century","2006"
"Fototeca Fahy","15th century","2007"
"Fototeca Fahy","15th century","2008"
"Fototeca Fahy","15th century","2009"
"Fototeca Fahy","15th century","2010"
"Fototeca Fahy","15th century","2011"
"Fototeca Fahy","15th century","2012"
"Fototeca Fahy","15th century","2013"
"Fototeca Fahy","15th century","2014"
"Fototeca Fahy","15th century","2015"
"Fototeca Fahy","15th century","2016"
"Fototeca Fahy","15th century","2017"
"Fototeca Fahy","15th century","2018"
"Archivio Luisa Vertova","15th century","1960"
"Archivio Luisa Vertova","15th century","1961"
"Archivio Luisa Vertova","15th century","1962"
"Archivio Luisa Vertova","15th century","1963"
"Archivio Luisa Vertova","15th century","1964"
"Archivio Luisa Vertova","15th century","1965"
"Archivio Luisa Vertova","15th century","1966"
"Archivio Luisa Vertova","15th century","1967"
"Archivio Luisa Vertova","15th century","1968"
"Archivio Luisa Vertova","15th century","1969"
"Archivio Luisa Vertova","15th century","1970"
"Archivio Luisa Vertova","15th century","1971"
"Archivio Luisa Vertova","15th century","1972"
"Archivio Luisa Vertova","15th century","1973"
"Archivio Luisa Vertova","15th century","1974"
"Archivio Luisa Vertova","15th century","1975"
"Archivio Luisa Vertova","15th century","1976"
"Archivio Luisa Vertova","15th century","1977"
"Archivio Luisa Vertova","15th century","1978"
"Archivio Luisa Vertova","15th century","1979"
"Archivio Luisa Vertova","15th century","1980"
"Archivio Luisa Vertova","15th century","1981"
"Archivio Luisa Vertova","15th century","1982"
"Archivio Luisa Vertova","15th century","1983"
"Archivio Luisa Vertova","15th century","1984"
"Archivio Luisa Vertova","15th century","1985"
"Archivio Luisa Vertova","15th century","1986"
"Archivio Luisa Vertova","15th century","1987"
"Archivio Luisa Vertova","15th century","1988"
"Archivio Luisa Vertova","15th century","1989"
"Archivio Luisa Vertova","15th century","1990"
"Archivio Luisa Vertova","15th century","1991"
"Archivio Luisa Vertova","15th century","1992"
"Archivio Luisa Vertova","15th century","1993"
"Archivio Luisa Vertova","15th century","1994"
"Archivio Luisa Vertova","15th century","1995"
"Archivio Luisa Vertova","15th century","1996"
"Archivio Luisa Vertova","15th century","1997"
"Archivio Luisa Vertova","15th century","1998"
"Archivio Luisa Vertova","15th century","1999"
"Archivio Luisa Vertova","15th century","2000"
"Archivio Luisa Vertova","15th century","2001"
"Archivio Luisa Vertova","15th century","2002"
"Archivio Luisa Vertova","15th century","2003"
"Archivio Luisa Vertova","15th century","2004"
"Archivio Luisa Vertova","15th century","2005"
"Archivio Luisa Vertova","15th century","2006"
"Archivio Luisa Vertova","15th century","2007"
"Archivio Luisa Vertova","15th century","2008"
"Archivio Luisa Vertova","15th century","2009"
"Archivio Luisa Vertova","15th century","2010"
"Archivio Luisa Vertova","15th century","2011"
"Archivio Luisa Vertova","15th century","2012"
"Archivio Luisa Vertova","15th century","2013"
"Archivio Luisa Vertova","15th century","2014"
"Archivio Luisa Vertova","15th century","2015"
"Archivio Luisa Vertova","15th century","2016"
"Archivio Luisa Vertova","15th century","2017"
"Archivio Luisa Vertova","15th century","2018"
"John Pope-Hennessy papers","15th century","1617"
"John Pope-Hennessy papers","15th century","1618"
"John Pope-Hennessy papers","15th century","1619"
"John Pope-Hennessy papers","15th century","1620"
"John Pope-Hennessy papers","15th century","1621"
"John Pope-Hennessy papers","15th century","1622"
"John Pope-Hennessy papers","15th century","1623"
"John Pope-Hennessy papers","15th century","1624"
"John Pope-Hennessy papers","15th century","1625"
"John Pope-Hennessy papers","15th century","1626"
"John Pope-Hennessy papers","15th century","1627"
"John Pope-Hennessy papers","15th century","1628"
"John Pope-Hennessy papers","15th century","1629"
"John Pope-Hennessy papers","15th century","1630"
"John Pope-Hennessy papers","15th century","1631"
"John Pope-Hennessy papers","15th century","1632"
"John Pope-Hennessy papers","15th century","1633"
"John Pope-Hennessy papers","15th century","1634"
"John Pope-Hennessy papers","15th century","1635"
"John Pope-Hennessy papers","15th century","1636"
"John Pope-Hennessy papers","15th century","1637"
"John Pope-Hennessy papers","15th century","1638"
"John Pope-Hennessy papers","15th century","1639"
"John Pope-Hennessy papers","15th century","1640"
"John Pope-Hennessy papers","15th century","1641"
"John Pope-Hennessy papers","15th century","1642"
"John Pope-Hennessy papers","15th century","1643"
"John Pope-Hennessy papers","15th century","1644"
"John Pope-Hennessy papers","15th century","1645"
"John Pope-Hennessy papers","15th century","1646"
"John Pope-Hennessy papers","15th century","1647"
"John Pope-Hennessy papers","15th century","1648"
"John Pope-Hennessy papers","15th century","1649"
"John Pope-Hennessy papers","15th century","1650"
"John Pope-Hennessy papers","15th century","1651"
"John Pope-Hennessy papers","15th century","1652"
"John Pope-Hennessy papers","15th century","1653"
"John Pope-Hennessy papers","15th century","1654"
"John Pope-Hennessy papers","15th century","1655"
"John Pope-Hennessy papers","15th century","1656"
"John Pope-Hennessy papers","15th century","1657"
"John Pope-Hennessy papers","15th century","1658"
"John Pope-Hennessy papers","15th century","1659"
"John Pope-Hennessy papers","15th century","1660"
"John Pope-Hennessy papers","15th century","1661"
"John Pope-Hennessy papers","15th century","1662"
"John Pope-Hennessy papers","15th century","1663"
"John Pope-Hennessy papers","15th century","1664"
"John Pope-Hennessy papers","15th century","1665"
"John Pope-Hennessy papers","15th century","1666"
"John Pope-Hennessy papers","15th century","1667"
"John Pope-Hennessy papers","15th century","1668"
"John Pope-Hennessy papers","15th century","1669"
"John Pope-Hennessy papers","15th century","1670"
"John Pope-Hennessy papers","15th century","1671"
"John Pope-Hennessy papers","15th century","1672"
"John Pope-Hennessy papers","15th century","1673"
"John Pope-Hennessy papers","15th century","1674"
"John Pope-Hennessy papers","15th century","1675"
"John Pope-Hennessy papers","15th century","1676"
"John Pope-Hennessy papers","15th century","1677"
"John Pope-Hennessy papers","15th century","1678"
"John Pope-Hennessy papers","15th century","1679"
"John Pope-Hennessy papers","15th century","1680"
"John Pope-Hennessy papers","15th century","1681"
"John Pope-Hennessy papers","15th century","1682"
"John Pope-Hennessy papers","15th century","1683"
"John Pope-Hennessy papers","15th century","1684"
"John Pope-Hennessy papers","15th century","1685"
"John Pope-Hennessy papers","15th century","1686"
"John Pope-Hennessy papers","15th century","1687"
"John Pope-Hennessy papers","15th century","1688"
"John Pope-Hennessy papers","15th century","1689"
"John Pope-Hennessy papers","15th century","1690"
"John Pope-Hennessy papers","15th century","1691"
"John Pope-Hennessy papers","15th century","1692"
"John Pope-Hennessy papers","15th century","1693"
"John Pope-Hennessy papers","15th century","1694"
"John Pope-Hennessy papers","15th century","1695"
"John Pope-Hennessy papers","15th century","1696"
"John Pope-Hennessy papers","15th century","1697"
"John Pope-Hennessy papers","15th century","1698"
"John Pope-Hennessy papers","15th century","1699"
"John Pope-Hennessy papers","15th century","1700"
"John Pope-Hennessy papers","15th century","1701"
"John Pope-Hennessy papers","15th century","1702"
"John Pope-Hennessy papers","15th century","1703"
"John Pope-Hennessy papers","15th century","1704"
"John Pope-Hennessy papers","15th century","1705"
"John Pope-Hennessy papers","15th century","1706"
"John Pope-Hennessy papers","15th century","1707"
"John Pope-Hennessy papers","15th century","1708"
"John Pope-Hennessy papers","15th century","1709"
"John Pope-Hennessy papers","15th century","1710"
"John Pope-Hennessy papers","15th century","1711"
"John Pope-Hennessy papers","15th century","1712"
"John Pope-Hennessy papers","15th century","1713"
"John Pope-Hennessy papers","15th century","1714"
"John Pope-Hennessy papers","15th century","1715"
"John Pope-Hennessy papers","15th century","1716"
"John Pope-Hennessy papers","15th century","1717"
"John Pope-Hennessy papers","15th century","1718"
"John Pope-Hennessy papers","15th century","1719"
"John Pope-Hennessy papers","15th century","1720"
"John Pope-Hennessy papers","15th century","1721"
"John Pope-Hennessy papers","15th century","1722"
"John Pope-Hennessy papers","15th century","1723"
"John Pope-Hennessy papers","15th century","1724"
"John Pope-Hennessy papers","15th century","1725"
"John Pope-Hennessy papers","15th century","1726"
"John Pope-Hennessy papers","15th century","1727"
"John Pope-Hennessy papers","15th century","1728"
"John Pope-Hennessy papers","15th century","1729"
"John Pope-Hennessy papers","15th century","1730"
"John Pope-Hennessy papers","15th century","1731"
"John Pope-Hennessy papers","15th century","1732"
"John Pope-Hennessy papers","15th century","1733"
"John Pope-Hennessy papers","15th century","1734"
"John Pope-Hennessy papers","15th century","1735"
"John Pope-Hennessy papers","15th century","1736"
"John Pope-Hennessy papers","15th century","1737"
"John Pope-Hennessy papers","15th century","1738"
"John Pope-Hennessy papers","15th century","1739"
"John Pope-Hennessy papers","15th century","1740"
"John Pope-Hennessy papers","15th century","1741"
"John Pope-Hennessy papers","15th century","1742"
"John Pope-Hennessy papers","15th century","1743"
"John Pope-Hennessy papers","15th century","1744"
"John Pope-Hennessy papers","15th century","1745"
"John Pope-Hennessy papers","15th century","1746"
"John Pope-Hennessy papers","15th century","1747"
"John Pope-Hennessy papers","15th century","1748"
"John Pope-Hennessy papers","15th century","1749"
"John Pope-Hennessy papers","15th century","1750"
"John Pope-Hennessy papers","15th century","1751"
"John Pope-Hennessy papers","15th century","1752"
"John Pope-Hennessy papers","15th century","1753"
"John Pope-Hennessy papers","15th century","1754"
"John Pope-Hennessy papers","15th century","1755"
"John Pope-Hennessy papers","15th century","1756"
"John Pope-Hennessy papers","15th century","1757"
"John Pope-Hennessy papers","15th century","1758"
"John Pope-Hennessy papers","15th century","1759"
"John Pope-Hennessy papers","15th century","1760"
"John Pope-Hennessy papers","15th century","1761"
"John Pope-Hennessy papers","15th century","1762"
"John Pope-Hennessy papers","15th century","1763"
"John Pope-Hennessy papers","15th century","1764"
"John Pope-Hennessy papers","15th century","1765"
"John Pope-Hennessy papers","15th century","1766"
"John Pope-Hennessy papers","15th century","1767"
"John Pope-Hennessy papers","15th century","1768"
"John Pope-Hennessy papers","15th century","1769"
"John Pope-Hennessy papers","15th century","1770"
"John Pope-Hennessy papers","15th century","1771"
"John Pope-Hennessy papers","15th century","1772"
"John Pope-Hennessy papers","15th century","1773"
"John Pope-Hennessy papers","15th century","1774"
"John Pope-Hennessy papers","15th century","1775"
"John Pope-Hennessy papers","15th century","1776"
"John Pope-Hennessy papers","15th century","1777"
"John Pope-Hennessy papers","15th century","1778"
"John Pope-Hennessy papers","15th century","1779"
"John Pope-Hennessy papers","15th century","1780"
"John Pope-Hennessy papers","15th century","1781"
"John Pope-Hennessy papers","15th century","1782"
"John Pope-Hennessy papers","15th century","1783"
"John Pope-Hennessy papers","15th century","1784"
"John Pope-Hennessy papers","15th century","1785"
"John Pope-Hennessy papers","15th century","1786"
"John Pope-Hennessy papers","15th century","1787"
"John Pope-Hennessy papers","15th century","1788"
"John Pope-Hennessy papers","15th century","1789"
"John Pope-Hennessy papers","15th century","1790"
"John Pope-Hennessy papers","15th century","1791"
"John Pope-Hennessy papers","15th century","1792"
"John Pope-Hennessy papers","15th century","1793"
"John Pope-Hennessy papers","15th century","1794"
"John Pope-Hennessy papers","15th century","1795"
"John Pope-Hennessy papers","15th century","1796"
"John Pope-Hennessy papers","15th century","1797"
"John Pope-Hennessy papers","15th century","1798"
"John Pope-Hennessy papers","15th century","1799"
"John Pope-Hennessy papers","15th century","1800"
"John Pope-Hennessy papers","15th century","1801"
"John Pope-Hennessy papers","15th century","1802"
"John Pope-Hennessy papers","15th century","1803"
"John Pope-Hennessy papers","15th century","1804"
"John Pope-Hennessy papers","15th century","1805"
"John Pope-Hennessy papers","15th century","1806"
"John Pope-Hennessy papers","15th century","1807"
"John Pope-Hennessy papers","15th century","1808"
"John Pope-Hennessy papers","15th century","1809"
"John Pope-Hennessy papers","15th century","1810"
"John Pope-Hennessy papers","15th century","1811"
"John Pope-Hennessy papers","15th century","1812"
"John Pope-Hennessy papers","15th century","1813"
"John Pope-Hennessy papers","15th century","1814"
"John Pope-Hennessy papers","15th century","1815"
"John Pope-Hennessy papers","15th century","1816"
"John Pope-Hennessy papers","15th century","1817"
"John Pope-Hennessy papers","15th century","1818"
"John Pope-Hennessy papers","15th century","1819"
"John Pope-Hennessy papers","15th century","1820"
"John Pope-Hennessy papers","15th century","1821"
"John Pope-Hennessy papers","15th century","1822"
"John Pope-Hennessy papers","15th century","1823"
"John Pope-Hennessy papers","15th century","1824"
"John Pope-Hennessy papers","15th century","1825"
"John Pope-Hennessy papers","15th century","1826"
"John Pope-Hennessy papers","15th century","1827"
"John Pope-Hennessy papers","15th century","1828"
"John Pope-Hennessy papers","15th century","1829"
"John Pope-Hennessy papers","15th century","1830"
"John Pope-Hennessy papers","15th century","1831"
"John Pope-Hennessy papers","15th century","1832"
"John Pope-Hennessy papers","15th century","1833"
"John Pope-Hennessy papers","15th century","1834"
"John Pope-Hennessy papers","15th century","1835"
"John Pope-Hennessy papers","15th century","1836"
"John Pope-Hennessy papers","15th century","1837"
"John Pope-Hennessy papers","15th century","1838"
"John Pope-Hennessy papers","15th century","1839"
"John Pope-Hennessy papers","15th century","1840"
"John Pope-Hennessy papers","15th century","1841"
"John Pope-Hennessy papers","15th century","1842"
"John Pope-Hennessy papers","15th century","1843"
"John Pope-Hennessy papers","15th century","1844"
"John Pope-Hennessy papers","15th century","1845"
"John Pope-Hennessy papers","15th century","1846"
"John Pope-Hennessy papers","15th century","1847"
"John Pope-Hennessy papers","15th century","1848"
"John Pope-Hennessy papers","15th century","1849"
"John Pope-Hennessy papers","15th century","1850"
"John Pope-Hennessy papers","15th century","1851"
"John Pope-Hennessy papers","15th century","1852"
"John Pope-Hennessy papers","15th century","1853"
"John Pope-Hennessy papers","15th century","1854"
"John Pope-Hennessy papers","15th century","1855"
"John Pope-Hennessy papers","15th century","1856"
"John Pope-Hennessy papers","15th century","1857"
"John Pope-Hennessy papers","15th century","1858"
"John Pope-Hennessy papers","15th century","1859"
"John Pope-Hennessy papers","15th century","1860"
"John Pope-Hennessy papers","15th century","1861"
"John Pope-Hennessy papers","15th century","1862"
"John Pope-Hennessy papers","15th century","1863"
"John Pope-Hennessy papers","15th century","1864"
"John Pope-Hennessy papers","15th century","1865"
"John Pope-Hennessy papers","15th century","1866"
"John Pope-Hennessy papers","15th century","1867"
"John Pope-Hennessy papers","15th century","1868"
"John Pope-Hennessy papers","15th century","1869"
"John Pope-Hennessy papers","15th century","1870"
"John Pope-Hennessy papers","15th century","1871"
"John Pope-Hennessy papers","15th century","1872"
"John Pope-Hennessy papers","15th century","1873"
"John Pope-Hennessy papers","15th century","1874"
"John Pope-Hennessy papers","15th century","1875"
"John Pope-Hennessy papers","15th century","1876"
"John Pope-Hennessy papers","15th century","1877"
"John Pope-Hennessy papers","15th century","1878"
"John Pope-Hennessy papers","15th century","1879"
"John Pope-Hennessy papers","15th century","1880"
"John Pope-Hennessy papers","15th century","1881"
"John Pope-Hennessy papers","15th century","1882"
"John Pope-Hennessy papers","15th century","1883"
"John Pope-Hennessy papers","15th century","1884"
"John Pope-Hennessy papers","15th century","1885"
"John Pope-Hennessy papers","15th century","1886"
"John Pope-Hennessy papers","15th century","1887"
"John Pope-Hennessy papers","15th century","1888"
"John Pope-Hennessy papers","15th century","1889"
"John Pope-Hennessy papers","15th century","1890"
"John Pope-Hennessy papers","15th century","1891"
"John Pope-Hennessy papers","15th century","1892"
"John Pope-Hennessy papers","15th century","1893"
"John Pope-Hennessy papers","15th century","1894"
"John Pope-Hennessy papers","15th century","1895"
"John Pope-Hennessy papers","15th century","1896"
"John Pope-Hennessy papers","15th century","1897"
"John Pope-Hennessy papers","15th century","1898"
"John Pope-Hennessy papers","15th century","1899"
"John Pope-Hennessy papers","15th century","1900"
"John Pope-Hennessy papers","15th century","1901"
"John Pope-Hennessy papers","15th century","1902"
"John Pope-Hennessy papers","15th century","1903"
"John Pope-Hennessy papers","15th century","1904"
